Action Name,Description,Hazard Name,Sector,Subsector,Cobenefits (Air quality/Emissions),Cobenefits (Water Quality),Cobenefits (Cost of Living),Cobenefits (Housing),Cobenefits (Mobility),Cobenefits (Stakeholder engagement),Equity and Inclusion Considerations,Timeline for Implementation,Dependencies,Potential Key Performance Indicators,Category,Local Climate Zone,Complexity,Cost Range,Further Resources,Heat Relevance Score
Install Green Roofs to Reduce Urban Heat,"Install vegetated roofs on buildings to reduce rooftop surface temperatures through evapotranspiration and insulation, lower cooling energy demand, manage stormwater, and provide urban biodiversity habitat.",Extreme Heat,Buildings,No Value Available,1,1,0,0,0,0,Green roof requirements must account for affordability barriers; financial incentives and technical support are essential to include low-income and older building owners.,<5 years,"Structural assessment of buildings for green roof load-bearing suitability, ""Availability of funding and financial incentives for installation"", ""Technical expertise for green roof installation and ongoing maintenance"", ""Regulatory frameworks or building codes supporting green roof requirements"", ""Access to appropriate plant species and growing media suited to local climate""","Total area of green roofs installed (m²), ""Reduction in rooftop surface temperature (°C)"", ""Reduction in cooling energy demand in buildings with green roofs (%)"", ""Volume of stormwater retained by green roofs (m³/year)"", ""Increase in urban biodiversity index in green roof areas""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6",High,High,"EPA (2023). Heat Island Effect: Green Roofs. https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands | Oberndorfer, E. et al. (2007). Green Roofs as Urban Ecosystems. BioScience 57(10).",4
Launch Public Heat Awareness and Education Campaigns,"Launch targeted public campaigns to raise awareness of heat risks, heat emergency symptoms, and protective behaviors, reaching vulnerable populations through multiple channels including SMS, community radio, social media, and neighborhood networks.",Extreme Heat,Disaster Risk Management; Public Health; Education; Informal Settlements,No Value Available,0,0,0,0,0,1,"Campaigns should target schools, senior centers, and spaces frequented by vulnerable populations; address digital access barriers by prioritizing visible, in-person communications.",<5 years,"Development of targeted communication materials for heat risks and protective behaviors, ""Multi-channel communication infrastructure (SMS, radio, social media, community networks)"", ""Partnerships with community organizations and health agencies for outreach"", ""Funding for campaign development and dissemination"", ""Reach data and feedback mechanisms to assess campaign effectiveness""","Number of people reached by heat awareness campaigns, ""Increase in public knowledge of heat risks and protective behaviors (%)"", ""Number of communication channels utilized in campaigns"", ""Reduction in heat-related illness and mortality rates during campaigns"", ""Community engagement and satisfaction ratings""",Informational,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",Medium,Low,"WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410 | Bouchama, A. et al. (2007). Prognostic factors in heat wave related deaths. Archives of Internal Medicine 167(20).",5
Develop Heat-Resilient Urban Design Guidelines,"Develop design guidelines that embed heat resilience requirements into urban planning standards, covering building orientation, shading, green space ratios, and material specifications to create cooler, more livable cities.",Extreme Heat,Buildings; Parks; Public Works; Economic Development; Transportation,No Value Available,1,0,1,1,0,0,"Guidelines must ensure heat-resilient design standards apply equitably across all neighborhoods, including informal settlements and social housing, not only high-value developments.",<5 years,"Multi-disciplinary expert working group including architects, planners, and climate scientists, ""Review of international best practices and local climate data"", ""Stakeholder consultation with government, private sector, and community"", ""Integration with existing urban planning legislation and regulations"", ""Pilot projects to test and validate design guidelines before broader adoption""","Number of new developments complying with heat-resilient design guidelines, ""Reduction in urban heat island effect in areas applying guidelines (%)"", ""Number of planning applications incorporating heat resilience criteria"", ""Percentage of city area covered by heat-resilient design standards"", ""Reduction in peak outdoor temperature in guideline-compliant developments (°C)""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",Medium,Low,Atlantic Council Extreme Heat Resilience Alliance (2022). Heat Design Guidelines. https://www.atlanticcouncil.org | ASHRAE (2022). Standard 55: Thermal Environmental Conditions. https://www.ashrae.org,5
Develop and Activate a Heat Emergency Response Plan,"Develop and activate a formal heat emergency response plan that defines trigger thresholds, agency responsibilities, communication protocols, and resource deployment procedures for protecting vulnerable populations during extreme heat events.",Extreme Heat,Disaster Risk Management; Public Health; Informal Settlements,No Value Available,0,0,0,0,0,1,"Plans must include multilingual communications and prioritize outreach to elderly, low-income, and isolated residents with highest heat risk and lowest self-protection capacity.",<5 years,"Multi-agency coordination framework with defined roles and responsibilities, ""Established heat trigger thresholds linked to meteorological monitoring"", ""Pre-positioned resources and communication protocols for emergency activation"", ""Training and capacity building for all participating emergency agencies"", ""Regular drills and plan reviews to maintain readiness""","Number of heat emergencies with formally coordinated multi-agency response, ""Average response time from trigger threshold to emergency activation (hours)"", ""Reduction in heat-related mortality during declared heat emergencies"", ""Percentage of target vulnerable population reached during emergency alerts"", ""Number of agencies trained and participating in heat response plan""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410 | CDC (2023). Extreme Heat Emergency Response. https://www.cdc.gov/niosh/topics/emres/heat.html,5
Establish Heat Hotlines for Emergency Assistance,"Establish and publicize dedicated heat hotlines that provide information, referrals to cooling centers, and wellness checks to residents during heatwaves, with particular outreach to elderly, isolated, and medically vulnerable populations.",Extreme Heat,Disaster Risk Management; Public Health; Informal Settlements,No Value Available,0,0,0,0,0,1,"Hotlines should offer multilingual support and year-round accessibility, with targeted outreach to elderly, low-income, and digitally excluded communities with highest heat vulnerability.",<5 years,"Dedicated telecommunication infrastructure and staffing for hotline operations, ""Training programs for hotline operators on heat illness and service referrals"", ""Multi-channel publicizing of hotline numbers (media, community organizations, hospitals)"", ""Coordination with health services, cooling centers, and emergency responders"", ""Funding for ongoing operations during heat season""","Number of calls received during heat emergencies, ""Average response time per call (minutes)"", ""Number of wellness checks conducted through hotline referrals"", ""Number of referrals to cooling centers and health services made"", ""Reduction in heat-related incidents among populations who contacted the hotline""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,"WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410 | Robine, J.-M. et al. (2008). Death toll exceeded 70,000 in Europe during summer 2003. Comptes Rendus Biologies.",5
Integrate Heat Resilience Criteria into Environmental Impact Assessments,"Integrate heat resilience criteria into environmental impact assessment (EIA) frameworks, requiring that new infrastructure and development projects demonstrate they will not exacerbate urban heat and include measures to mitigate heat risks.",Extreme Heat,City Administration,No Value Available,0,0,0,0,0,0,"EIA frameworks must require heat vulnerability assessments for low-income and informal areas, ensuring new developments do not increase risk for marginalized communities.",<5 years,"Development of standardized heat resilience criteria for EIA frameworks, ""Training for EIA practitioners and regulators on heat risk assessment methods"", ""Legislative or regulatory mandate requiring heat criteria in EIA processes"", ""Collaboration with environmental agencies, urban planners, and climate scientists"", ""Monitoring and enforcement mechanisms to verify heat mitigation compliance""","Number of EIAs incorporating heat resilience criteria annually, ""Percentage of new major development projects assessed for heat risk (%)"", ""Number of projects requiring heat mitigation measures following EIA review"", ""Reduction in heat vulnerability scores of approved development projects"", ""Quality rating of heat assessments submitted in EIA reports""",Laws & Regulations,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,Atlantic Council Extreme Heat Resilience Alliance (2022). Heat-Resilient EIAs. https://www.atlanticcouncil.org | UNEP (2021). Environmental Impact Assessment Guidelines. https://www.unep.org,4
Enforce Occupational Heat Safety Policies for Outdoor Workers,"Enforce occupational heat safety policies—including work-rest schedules, mandatory shade and water access, and heat illness training—to protect outdoor and manual workers from dangerous heat exposure during extreme heat events.",Extreme Heat,Emergency management; Public Health; Economic Development; City Administration,No Value Available,0,0,0,0,0,1,"Workers—especially informal, low-wage, and migrant employees—must be consulted in policy development; accountability measures must allow workers to safely report non-compliant employers.",5-10 years,"Clear regulatory standards for occupational heat safety with defined thresholds, ""Enforcement capacity with inspectors trained in heat safety compliance"", ""Employer awareness and compliance programs across high-risk sectors"", ""Training materials on heat illness recognition and prevention for workers"", ""Collaboration with labor unions, industry associations, and health agencies""","Percentage of employers complying with heat safety policies (%), ""Reduction in heat-related occupational illnesses and injuries"", ""Number of outdoor workers receiving heat safety training"", ""Number of workplace heat safety inspections conducted annually"", ""Penalty enforcement rate for non-compliant employers""",Laws & Regulations,"LCZ8, LCZ9, LCZ10",High,Low,ILO (2019). Working on a Warmer Planet. https://www.ilo.org/wcmsp5/groups/public/---dgreports/---dcomm/---publ/documents/publication/wcms_711919.pdf | WHO (2023). Heat and Health in Workplaces. https://www.who.int,5
Establish Payments for Urban Ecosystem Services (PUES),"Establish payment mechanisms that compensate landowners, communities, and institutions for maintaining urban ecosystem services—including cooling, stormwater management, and biodiversity—that benefit the broader city population.","Extreme Heat, Floods",Parks; Public Works; Economic Development,No Value Available,1,0,1,1,0,1,Payment schemes must equitably distribute benefits to low-income landowners and communities managing urban green space and delivering cooling services to city residents.,<5 years,"Legal and regulatory framework enabling ecosystem service payment mechanisms, ""Validated valuation methodology for urban ecosystem services"", ""Sustained funding sources for payment disbursements"", ""Engagement and agreement from landowners and community participants"", ""Monitoring and verification systems to assess ecosystem service delivery""","Number of landowners and communities receiving ecosystem service payments, ""Area of urban ecosystems maintained through payment schemes (hectares)"", ""Estimated economic value of ecosystem services compensated annually ($/year)"", ""Increase in urban green and blue infrastructure maintained under payment programs"", ""Reduction in urban heat island intensity in areas covered by PUES agreements""",Policies & Programs,"LCZA, LCZB, LCZC, LCZD",High,Medium,TEEB (2011). The Economics of Ecosystems and Biodiversity. https://teebweb.org | C40 Knowledge Hub. Urban Ecosystem Services. https://www.c40knowledgehub.org,2
Offer Property Tax Rebates for Heat-Resilient Building Upgrades,"Offer property tax rebates to homeowners and building owners who invest in heat-resilient building upgrades—such as cool roofs, insulation, or shading—reducing financial barriers and incentivizing uptake of heat reduction measures.",Extreme Heat,Buildings,No Value Available,1,0,0,1,0,0,"Tax rebate programs must reach low- and moderate-income homeowners, not only high-capital developers; simplified applications and pre-approval pathways ensure equitable access.",5-10 years,"Legislative authority to offer property tax rebates for qualifying upgrades, ""Defined eligibility criteria and verification mechanisms for heat-resilient upgrades"", ""Adequate municipal budget to cover rebate program costs"", ""Public awareness campaigns on rebate program eligibility and application process"", ""Coordination with building assessment and tax collection authorities""","Number of property owners receiving heat-resilient upgrade tax rebates, ""Total value of tax rebates distributed annually ($)"", ""Number of heat-resilient upgrades completed with rebate support"", ""Reduction in cooling energy consumption in participating properties (%)"", ""Uptake rate of heat-resilient technologies in rebate-eligible properties""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,ACEEE (2022). Financing Energy Efficiency. https://www.aceee.org | C40 Knowledge Hub. Building Retrofit Financing. https://www.c40knowledgehub.org,4
Maintain and Expand Public Transit Services during Heatwaves,"Maintain and expand public transit services specifically during heat emergencies, including extended operating hours and free fares, to provide access to cooling centers for residents without private transport and reduce dangerous outdoor exposure.",Extreme Heat,Transportation; Informal Settlements,No Value Available,1,0,0,0,1,0,Targeted outreach ensures low-income and transit-dependent communities know about expanded services; cooling centers must be located near accessible transit for vulnerable users.,<5 years,"Coordination agreements with transit authorities and operators for emergency service expansion, ""Funding for extended services and free fare periods during heat emergencies"", ""Heat emergency trigger criteria linked to transit service activation plans"", ""Communication infrastructure to publicize service changes to the public"", ""Adequate cooled transit vehicles and infrastructure to support expanded services""","Number of additional transit trips provided during heat emergencies, ""Increase in transit ridership during declared heatwave events (%)"", ""Percentage of transit routes with extended hours during heat emergencies"", ""Number of people accessing cooling centers via expanded public transit"", ""Reduction in outdoor heat exposure incidents linked to transport access""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,UITP (2021). Public Transport and Climate Change. https://www.uitp.org | WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410,5
Install Public Water Features for Urban Cooling,"Install public water features—including fountains, misting stations, and splash pads—in high-traffic public spaces to provide evaporative cooling and accessible heat relief for pedestrians and outdoor workers during heatwaves.",Extreme Heat,Parks; Informal Settlements,No Value Available,0,1,0,0,0,0,"Water features should be sited in heat-exposed, low-income public spaces, prioritizing areas where residents lack access to private cooling alternatives.",<5 years,"Identification and assessment of high-traffic public locations for water feature installation, ""Funding for construction, water supply, and ongoing maintenance"", ""Water supply infrastructure and management capacity"", ""Community engagement to ensure public acceptance and usage"", ""Technical expertise for installation, operation, and maintenance""","Number of public water features installed, ""Reduction in ambient temperature at installation sites (°C)"", ""Number of people using water features during peak heat events"", ""Reduction in heat-related illness in target public areas"", ""User satisfaction ratings for water features""",Engineering & Built Environment,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",Medium;,Medium,C40 Knowledge Hub. Water Features for Urban Cooling. https://www.c40knowledgehub.org | EPA (2023). Heat Island Cooling Strategies. https://www.epa.gov/heatislands/heat-island-cooling-strategies,5
Replace Impervious Surfaces to Reduce Urban Heat and Runoff,"Replace impervious paved surfaces with permeable alternatives, green space, or reflective materials to reduce heat absorption, enable evaporative cooling, and decrease stormwater runoff in urban areas.",Extreme Heat,Transportation; Public works,No Value Available,0,0,0,0,0,0,Prioritize impervious surface replacement in low-income and informal neighborhoods bearing the highest combined heat and flood burden from excessive surface sealing.,<5 years,"Mapping and prioritization of impervious surface areas for replacement, ""Funding for surface replacement and installation works"", ""Availability of permeable, green, or reflective replacement materials"", ""Technical expertise for installation and long-term maintenance"", ""Integration with urban stormwater management and drainage planning""","Area of impervious surfaces replaced with permeable or reflective alternatives (m²), ""Reduction in urban surface temperature in modified areas (°C)"", ""Decrease in stormwater runoff volume post-implementation (%)"", ""Reduction in urban heat island intensity in target areas"", ""Increase in permeable surface ratio across urban areas (%)""",Engineering & Built Environment,"LCZ5, LCZ6, LCZ8, LCZ9, LCZ10",High,Low,EPA (2021). Soak Up the Rain: Permeable Pavement. https://www.epa.gov/soakuptherain | LBNL. Cool Pavements. https://heatisland.lbl.gov/coolscience/cool-pavements,4
Support Access to Efficient Residential Air Conditioning With Clean Energy,"Support access to efficient, affordable residential air conditioning for low-income and heat-vulnerable households through subsidy programs, equipment lending, and financial assistance, while promoting energy-efficient technologies to limit electricity demand growth.",Extreme Heat,Buildings; Public Works; Informal Settlements,No Value Available,-1,0,0,0,0,0,Prioritize low-income and heat-vulnerable households; pair AC support with clean energy options and weatherization to prevent increased emissions and energy bill burdens.,<5 years,"Availability of targeted financial subsidies and assistance programs for vulnerable households, ""Market availability of energy-efficient and affordable cooling technologies"", ""Coordination with energy utilities for clean energy supply integration"", ""Outreach and enrollment support for heat-vulnerable and low-income households"", ""Energy efficiency standards and certification criteria for eligible equipment""","Number of heat-vulnerable households receiving residential AC support, ""Average energy efficiency rating of installed cooling systems"", ""Reduction in heat-related illness among supported households"", ""Increase in proportion of residential cooling powered by clean energy (%)"", ""Average cost savings for supported households ($/year)""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,IEA (2023). Cooling. https://www.iea.org/energy-system/buildings/cooling | UNEP (2022). Cooling Emissions and Policy Synthesis Report. https://www.unep.org,5
Plant Street Trees to Create Cool Corridors and Provide Shading and Cooling,"Implement a systematic street-tree planting program to create continuous ""cool corridors"" along transit routes, sidewalks, and residential streets. This action targets the reduction of the Urban Heat Island effect by shading heat-absorbing asphalt and dark surfaces, significantly lowering ambient air temperatures. By providing direct solar protection for pedestrians and cyclists, it ensures safer and more comfortable outdoor movement during extreme heat events.",Extreme Heat,Public Works; Parks; Informal Settlements,No Value Available,1,0,1,1,1,0,Prioritize planting in low-income neighborhoods with least canopy; involve communities in placement and stewardship to build local ownership and long-term tree survival.,5-10 years,"Availability of suitable urban tree species adapted to local climate conditions, ""Funding for tree procurement, planting, and long-term maintenance"", ""Technical expertise in urban forestry and street tree management"", ""Coordination with utility and infrastructure agencies to determine planting locations"", ""Community and stakeholder engagement for route selection and stewardship""","Number of street trees planted annually, ""Increase in urban tree canopy coverage along cool corridors (%)"", ""Reduction in ambient temperature along planted corridors (°C)"", ""Increase in pedestrian and cyclist activity in shaded areas (%)"", ""Survival and establishment rate of planted trees (%)""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6, LCZB, LCZD",Medium,Medium,"EPA (2023). Using Trees to Reduce Heat Islands. https://www.epa.gov/heatislands | Nowak, D.J. et al. (2022). Assessing urban forest effects. USDA Forest Service.",5
Adopt Thermal Comfort Policies for Buildings and Public Spaces,"Adopt thermal comfort policies that set minimum indoor temperature standards in rental housing, workplaces, and public buildings, and require owners to provide adequate cooling to protect occupants from dangerous heat exposure.",Extreme Heat,Buildings,No Value Available,0,0,0,1,0,0,Set minimum indoor temperature standards in rental housing and workplaces to protect low-income tenants and workers who cannot self-regulate their thermal environment.,5-10 years,"Legislative authority to set minimum indoor thermal comfort standards, ""Enforcement mechanisms and inspection capacity for rental housing and workplaces"", ""Technical guidance and support for building owners to achieve compliance"", ""Collaboration with housing, health, and labor regulatory authorities"", ""Monitoring systems to verify compliance and track temperature standards""","Percentage of rental housing meeting thermal comfort standards, ""Number of workplace and building compliance inspections conducted"", ""Reduction in heat-related health incidents in monitored buildings"", ""Number of enforcement actions for non-compliant properties"", ""Proportion of public buildings meeting minimum temperature standards (%)""",Laws & Regulations,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,ASHRAE (2022). Standard 55: Thermal Environmental Conditions for Human Occupancy. https://www.ashrae.org | WHO (2021). Housing and Health Guidelines. https://www.who.int/publications/i/item/9789241550376,5
Launch Training and Upskilling Programs for Heat-Resilient Jobs,"Launch training and upskilling programs that equip workers with skills for heat-resilient jobs—including building retrofitting, green infrastructure maintenance, and emergency response—while creating green employment opportunities.",Extreme Heat,Economic Development; Informal Settlements,No Value Available,0,0,0,0,0,1,Partner with community organizations and educational institutions; target programs at underemployed and low-income residents to ensure heat-resilient jobs deliver economic equity.,<5 years,"Development of training curricula aligned with heat-resilient sector needs, ""Collaboration with employers and industry associations for curriculum design"", ""Funding for training program delivery and participant support"", ""Accreditation and certification frameworks for new green skills"", ""Identification of priority sectors and current workforce skill gaps""","Number of workers trained in heat-resilient and green economy skills, ""Number of green jobs created or filled through training programs"", ""Employment rate of program graduates within 12 months (%)"", ""Reduction in identified skill gaps for heat-resilient infrastructure roles"", ""Diversity and inclusion of underrepresented groups in training programs (%)""",Informational,"LCZ8, LCZ9, LCZ10",Medium,Medium,ILO (2019). Working on a Warmer Planet. https://www.ilo.org | World Bank (2021). Jobs and Development. https://www.worldbank.org/en/topic/jobsanddevelopment,3
Develop Transit-Oriented Neighborhoods to Reduce Heat Exposure,"Develop transit-oriented neighborhoods that concentrate housing, services, and employment around transit hubs, reducing car dependency, outdoor heat exposure from long commutes, and the urban heat island effects of sprawl and parking lots.",Extreme Heat,Transportation; Buildings; Economic Development; City Administration,No Value Available,1,0,0,0,1,0,TOD must include affordable housing requirements near transit hubs to prevent displacement of low-income residents who benefit most from reduced car dependency.,5-10 years,"Policy and regulatory support for transit-oriented development zoning, ""Investment in transit infrastructure, frequency, and service quality"", ""Land-use planning and zoning reforms to enable mixed-use density near transit hubs"", ""Community engagement in transit-oriented neighborhood design"", ""Coordination between transport, housing, and urban planning departments""","Reduction in per capita vehicle kilometers traveled in transit-oriented neighborhoods, ""Increase in public transit ridership in target neighborhoods (%)"", ""Percentage of residents within walking distance (500m) of transit hubs"", ""Reduction in urban heat island effect linked to reduced car dependency"", ""Decrease in commuting-related outdoor heat exposure""",Structural/Physical,"LCZ1, LCZ2, LCZ3",High,High,ITDP (2017). TOD Standard. https://itdp.org/publication/tod-standard/ | IPCC AR6 WGIII Ch8 (2022). Urban Systems. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-8/,4
Launch Tree Planting Campaigns on Public and Private Land,"Launch city-wide and community tree planting campaigns on public land, streets, parks, and through private property programs to rapidly expand urban tree canopy, reduce urban heat island intensity, and improve air quality and community wellbeing.",Extreme Heat,Public Works; Parks,No Value Available,1,0,1,0,1,0,Prioritize low-income areas with least canopy; engage residents in design and maintenance to ensure long-term benefit and local ownership of green assets.,<5 years,"Availability of tree seedlings, planting materials, and species-appropriate stock, ""Community volunteer mobilization and engagement capacity"", ""Coordination with private property owners for access to private land"", ""Funding for tree procurement, planting, and aftercare programs"", ""Collaboration with local government, schools, and environmental organizations""","Number of trees planted per year across public and private land, ""Survival rate of planted trees after one and three years (%)"", ""Increase in urban tree canopy coverage (%)"", ""Number of community participants in tree planting campaigns"", ""Estimated reduction in urban heat island intensity from expanded canopy""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6, LCZB, LCZD",High,Low,"EPA (2023). Using Trees to Reduce Heat Islands. https://www.epa.gov/heatislands | Nowak, D.J. et al. (2022). Assessing urban forest effects. USDA Forest Service.",3
Enforce Tree Protection Regulations in Urban Areas,"Enforce regulations protecting existing urban trees from removal, damage, and disease, maintaining established tree canopy that provides immediate and ongoing cooling, air quality, and biodiversity benefits.",Extreme Heat,Public Works; Parks; Informal Settlements,No Value Available,1,0,0,0,0,0,"Apply citywide with prioritized enforcement in low-income neighborhoods, where trees provide critical cooling but face higher removal pressure from development.",<5 years,"Clear legal framework for tree protection with defined penalties for violations, ""Adequate enforcement and inspection capacity with trained officers"", ""Urban tree inventory and mapping systems to identify protected trees"", ""Public awareness campaigns on tree protection regulations and reporting violations"", ""Remediation requirements and processes for trees damaged or removed illegally""","Reduction in unauthorized tree removal incidents per year, ""Percentage of urban trees covered by legal protection orders"", ""Number of enforcement actions taken annually for tree protection violations"", ""Net change in urban tree canopy coverage attributed to protection measures"", ""Compliance rate with tree protection regulations among developers and property owners (%)""",Laws & Regulations,"LCZ5, LCZ6, LCZA, LCZB",High,Low,"EPA (2023). Using Trees to Reduce Heat Islands. https://www.epa.gov/heatislands | Nowak, D.J. et al. (2022). Assessing urban forest effects. USDA Forest Service.",3
Develop an Urban Forestry Plan,"Develop a comprehensive urban forestry plan that sets targets for canopy coverage, defines species selection criteria, maps priority planting areas, and establishes maintenance protocols to grow and sustain a resilient urban forest.",Extreme Heat,Public Works; Parks; Informal Settlements,No Value Available,1,0,1,0,0,0,"Plans must target equitable canopy distribution, prioritizing low-income neighborhoods with least tree cover; include communities in species selection and stewardship planning.",5-10 years,"Cross-departmental collaboration and governance structure for plan development, ""Community and stakeholder consultation to define priorities and targets"", ""Comprehensive urban tree canopy inventory and mapping data"", ""Dedicated funding and implementation resources for plan delivery"", ""Integration with urban planning, biodiversity, and climate resilience frameworks""","Percentage of citywide tree canopy coverage target achieved, ""Number of priority planting areas identified and addressed per year"", ""Annual tree planting targets met as proportion of plan goals (%)"", ""Increase in urban tree species diversity index"", ""Reduction in urban heat island intensity attributed to urban forestry plan implementation""",Policies & Programs,"LCZ5, LCZ6, LCZA, LCZB, LCZD",High,Medium,USDA Forest Service (2022). Urban and Community Forestry Program. https://www.fs.usda.gov/managing-land/urban-forests | EPA (2023). Using Trees to Reduce Heat Islands. https://www.epa.gov/heatislands,3
Launch Wellness Check Programs for Heat-Vulnerable Populations,"Launch wellness check programs that regularly contact and visit heat-vulnerable residents—including elderly people living alone, people with chronic illness, and those without home cooling—during heatwaves to ensure their safety and connect them with services.",Extreme Heat,Disaster Risk Management; Public Health; Informal Settlements,No Value Available,0,0,1,0,0,1,"Annually update participant lists with community organization support to reach isolated elderly, low-income, and disabled residents at greatest risk during heat events.",<5 years,"Registry or identification system for heat-vulnerable residents requiring outreach, ""Volunteer and community health worker networks for check delivery"", ""Coordination with health services, social services, and emergency agencies"", ""Communication protocols and safety guidelines for wellness check visits and calls"", ""Funding for program staffing and operations during heat season""","Number of individuals reached through wellness check programs during heat events, ""Frequency of wellness checks conducted per heat-vulnerable resident"", ""Reduction in heat-related hospitalizations among target populations"", ""Number of referrals to health services and cooling centers made through program"", ""Coverage rate of identified heat-vulnerable population reached by program (%)""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",Medium,Low,CDC (2023). Wellness Checks for Extreme Heat. https://www.cdc.gov | WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410,5
,,,,,,,,,,,,,,,,,,,,
